City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Harnoli,PK,32.28,71.55,73.76,20,0,2.19,clear sky
318,Pacific Grove,US,36.62,-121.92,91.4,15,1,8.05,clear sky
319,Mount Gambier,AU,-37.83,140.77,53.6,87,75,19.46,broken clouds
320,Lata,PT,40.16,-8.33,54.0,87,77,1.03,broken clouds
321,Sisimiut,GL,66.94,-53.67,41.07,87,100,13.53,moderate rain
322,Asyut,EG,27.18,31.18,73.4,64,0,13.87,clear sky
323,Okato,NZ,-39.2,173.88,51.01,60,99,4.0,overcast clouds
324,Nanga Eboko,CM,4.68,12.37,67.59,98,32,3.56,light rain
325,Kentau,KZ,43.52,68.51,54.55,38,0,8.23,clear sky
326,Visby,SE,57.64,18.3,33.8,67,9,2.98,clear sky
327,Praia Da Vitoria,PT,38.73,-27.07,64.4,88,40,6.67,scattered clouds
328,Zhigansk,RU,66.77,123.37,17.92,92,93,5.41,overcast clouds
329,Anadyr,RU,64.75,177.48,35.6,100,75,8.95,broken clouds
330,Ust-Barguzin,RU,53.45,108.98,29.64,87,96,3.02,overcast clouds
331,Saiha,IN,22.48,92.97,69.22,85,86,3.09,overcast clouds
332,Kos,GR,36.89,27.29,68.0,82,22,9.17,few clouds
333,Vicuna,CL,-30.03,-70.71,70.0,25,0,0.94,clear sky
334,Puerto Escondido,MX,15.85,-97.07,82.65,75,96,4.52,overcast clouds
335,Thunder Bay,CA,48.4,-89.32,35.01,59,75,5.82,broken clouds
336,Soyo,AO,-6.13,12.37,76.89,84,98,8.81,overcast clouds
337,Impfondo,CG,1.64,18.07,70.77,96,44,1.92,light rain
338,Faya,SA,18.39,42.45,59.0,26,0,3.74,clear sky
339,Fuerte,PH,17.54,120.36,81.64,71,11,3.89,few clouds
340,Minot,US,48.23,-101.3,39.2,41,75,9.17,broken clouds
341,Gaoua,BF,10.3,-3.25,77.05,73,73,4.12,broken clouds
342,Iranshahr,IR,27.2,60.68,56.82,30,0,2.39,clear sky
343,Middlebury,US,44.02,-73.17,48.0,100,90,0.58,overcast clouds
344,Garowe,SO,8.41,48.48,76.59,76,3,13.69,light rain
345,Colonia,DE,50.93,6.95,51.01,87,75,1.12,broken clouds
346,Fort Nelson,CA,58.81,-122.7,23.0,73,75,9.17,smoke
347,Matara,LK,5.95,80.54,77.32,85,32,10.63,scattered clouds
348,Pouembout,NC,-21.13,164.9,78.1,64,20,10.94,few clouds
349,Hoquiam,US,46.98,-123.89,61.0,77,90,20.8,light rain
350,La Ronge,CA,55.1,-105.28,24.8,62,90,17.22,overcast clouds
351,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,80.53,72,70,2.51,broken clouds
352,Huarmey,PE,-10.07,-78.15,64.24,81,26,7.31,scattered clouds
353,Port Macquarie,AU,-31.43,152.92,80.01,51,45,1.99,scattered clouds
354,Fria,GN,10.42,-13.58,73.35,94,100,1.81,overcast clouds
355,Ayan,RU,56.45,138.17,34.65,80,57,4.94,broken clouds
356,San Luis,AR,-33.3,-66.34,73.85,44,0,9.66,clear sky
357,Seoul,KR,37.57,126.98,48.2,100,1,1.45,mist
358,Nguruka,TZ,-5.11,31.04,71.17,54,16,2.13,few clouds
359,Lang Son,VN,21.83,106.73,62.53,76,91,12.57,overcast clouds
360,Erenhot,CN,43.65,111.98,40.98,55,3,9.33,clear sky
361,Taoudenni,ML,22.68,-3.98,86.02,18,0,8.72,clear sky
362,Teahupoo,PF,-17.83,-149.27,73.4,94,90,13.87,light rain
363,Vanimo,PG,-2.67,141.3,79.34,77,100,5.91,light rain
